127.0.0.1 - - [28/Dec/2021:15:58:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Dec/2021:15:58:16 +0900] "GET /koravelProject/index.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [28/Dec/2021:15:58:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Dec/2021:15:58:19 +0900] "GET /koravelProject/region/recommand.do HTTP/1.1" 200 9279
0:0:0:0:0:0:0:1 - - [28/Dec/2021:15:58:19 +0900] "GET /koravelProject/resources/js/js_recommand.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2021:15:58:19 +0900] "GET /koravelProject/resources/style/sytle.css HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [28/Dec/2021:15:58:19 +0900] "GET /koravelProject/resources/js/jquery-1.7.1.js HTTP/1.1" 200 248235
0:0:0:0:0:0:0:1 - - [28/Dec/2021:15:58:19 +0900] "GET /koravelProject/resources/img/traveller.png HTTP/1.1" 200 30755
0:0:0:0:0:0:0:1 - - [28/Dec/2021:15:58:19 +0900] "GET /koravelProject/resources/img/region/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Dec/2021:15:58:19 +0900] "GET /koravelProject/resources/img/region/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Dec/2021:15:58:19 +0900] "GET /koravelProject/resources/img/region/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Dec/2021:15:58:29 +0900] "GET /koravelProject/region/detailRegion.do?regionIdx=1 HTTP/1.1" 200 8767
0:0:0:0:0:0:0:1 - - [28/Dec/2021:15:58:29 +0900] "GET /koravelProject/resources/style/style1.css HTTP/1.1" 200 2826
0:0:0:0:0:0:0:1 - - [28/Dec/2021:15:58:29 +0900] "GET /koravelProject/resources/style/main.css HTTP/1.1" 200 3096
0:0:0:0:0:0:0:1 - - [28/Dec/2021:15:58:29 +0900] "GET /koravelProject/resources/js/bxSlider.js HTTP/1.1" 200 4282
0:0:0:0:0:0:0:1 - - [28/Dec/2021:15:58:29 +0900] "GET /koravelProject/resources/style/bootstrap-grid.min.css HTTP/1.1" 200 48488
0:0:0:0:0:0:0:1 - - [28/Dec/2021:15:58:29 +0900] "GET /koravelProject/resources/img/region/detailRegion/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [28/Dec/2021:15:58:30 +0900] "GET /koravelProject/resources/img/region/detailRegion/ HTTP/1.1" 404 721
