127.0.0.1 - - [09/Jan/2022:18:31:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:31:35 +0900] "GET /koravelProject/index.jsp HTTP/1.1" 200 26346
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:31:35 +0900] "GET /koravelProject/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:31:35 +0900] "GET /koravelProject/resources/js/weatherApi.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:31:35 +0900] "GET /koravelProject/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:31:35 +0900] "GET /koravelProject/resources/js/ex.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:31:35 +0900] "GET /koravelProject/resources/images/koravel.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:31:35 +0900] "GET /koravelProject/resources/images/currency-exchange.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:31:35 +0900] "GET /koravelProject/resources/images/main/sticky-notes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:31:35 +0900] "GET /koravelProject/resources/images/main/festival.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:31:35 +0900] "GET /koravelProject/resources/images/main/community.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:31:35 +0900] "GET /koravelProject/resources/images/main/light-bulb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:31:35 +0900] "GET /koravelProject/resources/images/main/myeongdong.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:31:35 +0900] "GET /koravelProject/resources/images/main/jeju1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:31:35 +0900] "GET /koravelProject/resources/images/main/busan1.jpg HTTP/1.1" 304 -
